pair_id,status,dst_track_id,dst_youtube_id,src_track_id,src_youtube_id,whosampled_id
35,used,T069,3bYeqY_GMKs,T070,WW_KaxZ3AUg,403692
36,used,T071,0RtYtIiVYpY,T072,rsYPeP1XJuM,7234
37,used,T073,nKv8Oyez_TQ,T074,bKjn26agAEs,920101
38,used,T075,MxEjnYdfLXU,T076,aBhBG5lqpzM,262
39,used,T077,Sk9XYQMRiLY,T078,BPjQ7iK5GVI,38369
40,used,T079,EDwb9jOVRtU,T080,XEjLoHdbVeE,3
41,used,T081,ZtkNfC5Oymw,T082,0StV8XtoO34,9670
42,used,T083,jCmbHWgkXek,T084,VRVanOlsxzQ,34208
43,used,T085,k0FmIMbSGbw,T086,VW8RT6lKQfY,91581
44,used,T087,EA8RxRkNveM,T088,Ayq1t6Q7hg8,644908
45,used,T089,KyH9QTdR-88,T090,mwOuYoCoyaA,1531
46,used,T091,IO93qNxjoo0,T092,4DqPVakFkOw,559039
47,used,T093,3eeIu7N7xS0,T094,AM3arcIHcik,603
48,used,T095,gUhRKVIjJtw,T096,AGO19YOaw6U,18
49,used,T097,InFbBlpDTfQ,T098,TYGaJr7G3Dc,2777
50,used,T099,mmi60Bd4jSs,T100,fwY4pKLKago,579
51,used,T101,BTZAQlr6ZZc,T102,V56yeZtqQTs,503
52,used,T103,O7bXxoP0MtE,T104,SHAQlFq6TFg,258761
53,used,T105,rxgjPa1mu_s,T106,sRHBBy9mxHg,1230013
54,used,T107,LnKOxbwFAVs,T108,52PXsD5wET8,741462
55,used,T109,yoYZf-lBF_U,T110,kuqR6EuvPhI,515
56,used,T111,_JZom_gVfuw,T112,9acYQyxL2qw,134
57,used,T113,RijB8wnJCN0,T114,bs22HOEbTJY,854
58,used,T115,yyr2gEouEMM,T116,7KcIAmqkXOU,174851
59,used,T117,ZBBS4imv1qo,T118,w0-30EYdjgU,678037
60,used,T119,1AFN4dn09oM,T120,ljzwabhHv0c,186252
61,used,T121,bAM1PEt7s30,T122,eo7iwlMFPrM,152645
62,used,T123,z6bICslpTfY,T124,BblJR8WBlbw,259777
63,used,T125,e5PnuIRnJW8,T126,fW8NQgqYoVQ,629
64,used,T127,IMPr9XXGymA,T128,3mjZ61IW-Nw,771047
65,used,T129,XTUbZx31_SA,T130,iKvK5CasiZ0,1457
66,used,T131,phOW-CZJWT0,T132,Jiqxkdhzi_M,539
67,used,T133,bbNxSU27rAo,T134,3GwjfUFyY6M,1276377
68,used,T135,Kl8qL5gdrjM,T136,udhWJCZ7o2o,1276376
69,used,T137,Ie446ljuho8,T138,UvFXf30cWWk,1312455
70,used,T139,F4WB9lSe4iw,T140,mzVXA2WTa9A,1312438
71,used,T141,RvvJ8nz_boE,T142,EGhfYUbbySY,1312406
72,used,T143,aw_2Ij_SyE8,T144,jRx5PrAlUdY,1310967
73,used,T145,ZV5OlTosRM8,T146,jNZpYq60hnw,1312340
74,used,T147,NM-qYCxVWwo,T148,010KyIQjkTk,1312323
75,used,T149,ADLdr3eLveo,T150,1OEron4rXfk,1266447
76,used,T151,CAexvfPGOes,T152,qKyOcQJZcuU,1266318
77,used,T153,xiHVAT-j4Zg,T154,aRgGnozWNng,1266181
78,used,T155,Fpwthcnt_tw,T156,IKgVzWeZ4qw,1312193
79,used,T157,Aj8v3wSfFV8,T158,RLLZc7DzwGA,1312066
80,used,T159,hWyOf8QzO4U,T160,sv1SwCQTpPc,1266577
81,used,T161,IfMW4o3TDRU,T162,yYMPppzqWoU,1264706
82,used,T163,VsZpZBfGwZI,T164,C-u5WLJ9Yk4,1266527
83,used,T165,ruAi4VBoBSM,T166,3GvPBdDNh5E,19
84,used,T167,ngMKbjS-Fog,T168,Zi_XLOBDo_Y,13317
85,used,T169,Fbuf6VbVQBQ,T170,sOnqjkJTMaA,464189
86,used,T171,avYwRDHRCJ4,T172,re3MOe1SBOs,482
87,commented_out,T173,Ge-IXV0_5qY,T174,XzNWRmqibNE,817869
88,used,T175,i-cB_ip4eYY,T176,BfAiKjJ_RQE,541
89,used,T177,nop_Mp0T5_Y,T178,0EHEqyyGcrM,212424
90,used,T179,ngCWh_1ePs0,T180,WJkM83eS1LA,937874
91,used,T181,XS088Opj9o0,T182,K7doq5HouVQ,184061
92,used,T183,09dK5MlG9fk,T184,ObVNa7hezk0,129071
93,used,T185,GATWw-KoqKc,T186,ny-g9dYVP74,108317
94,used,T187,VAWJzPtXSKg,T188,f5-9N0DEfmM,932279
95,used,T189,9eddKSG5ma4,T190,E-TZtrJjW54,64850
96,used,T191,ydPi8KRECWg,T192,YOapNGdzwKg,43324
97,used,T193,5NfPIs9Zlc8,T194,UwArE78WstA,703279
98,used,T195,PcFvrbWNpW0,T196,fi2wHYRCR8Q,2815
99,removed,T197,LOZuxwVk7TU,T198,IXVOKep5zeU,16717
100,used,T199,gTLJSokfDvI,T200,WoZP18U5VyY,507
101,used,T201,BcUqBrdhQSQ,T202,Fjufjv4rH0s,68319
102,used,T203,eVli-tstM5E,T204,Mx-0Y3hfDeU,1184071
103,used,T205,_OhKtYi6xnE,T206,wCu6lqpydjQ,1216861
